filling,word,length_letters,exp_a,exp_b,h_pmns_mod5,tr_re,tr_im,tr2_re,tr2_im,complex_length_re,twist_rad,twist_deg,abs_tr
m003(cusp),AAAbab,6,-2,2,,-2.0000000000000000000000000000000000,-9.8181869305954531061915439099725513e-91,4.0000000000000000000000000000000000,3.9272747722381812424766175639890205e-90,0.00000000000000000000000000000000000,1.0033115225336663936994793398898645e-19,(1.8059607405605995086590628118017561e-17)/pi,2.0000000000000000000000000000000000
m003(cusp),AAAbbb,6,-3,3,,-6.0000000000000000000000000000000000,-13.856406460551018348219570732046979,-156.00000000000000000000000000000000,166.27687752661222017863484878456375,5.4353507249786954989263640061923372,2.3306569421708651475954250890906458,419.51824959075572656717651603631624/pi,15.099668870541499394473369613892234
m003(cusp),AABAAb,6,-4,0,,-0.50000000000000000000000000000000000,-4.3301270189221932338186158537646809,-18.500000000000000000000000000000000,4.3301270189221932338186158537646809,3.0401611341503847119585511171692954,2.9324998133192291683132689848757673,527.84996639746125029638841727763811/pi,4.3588989435406735522369819838596157
m003(cusp),AABABB,6,-3,-3,,1.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-4.5000000000000000000000000000000000,7.7942286340599478208735085367764256,2.3192389338022906006314565641749704,2.2564003312907097501193476442785618,406.15205963232775502148257597014113/pi,3.0000000000000000000000000000000000
m003(cusp),AABAbb,6,-3,1,,4.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-40.500000000000000000000000000000000,-70.148057706539530387861576830987831,4.4070111228213607167887041655648552,-2.1153827974270050629445850149523678,-380.76890353686091133002530269142621/pi,9.0000000000000000000000000000000000
m003(cusp),AABBAB,6,-3,-3,,1.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-4.5000000000000000000000000000000000,7.7942286340599478208735085367764256,2.3192389338022906006314565641749704,2.2564003312907097501193476442785618,406.15205963232775502148257597014113/pi,3.0000000000000000000000000000000000
m003(cusp),AABBAb,6,-3,-1,,1.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,-16.500000000000000000000000000000000,-12.990381056766579701455847561294043,3.1175247937010961275322942381240860,-2.5275589002146271993025924245497472,-454.96060203863289587446663641895449/pi,4.5825756949558400065880471937280085
m003(cusp),AABBBB,6,-2,-4,,9.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,89.500000000000000000000000000000000,-16.454482671904334288510740244305787,4.4888974152044088173100146266068127,-0.18592624766566077541597341347628359,-33.466724579818939574875214425731047/pi,9.5393920141694564915262158602322654
m003(cusp),AABBaB,6,-1,-3,,-0.50000000000000000000000000000000000,-7.7942286340599478208735085367764256,-60.500000000000000000000000000000000,7.7942286340599478208735085367764256,4.1426382673575660969443507318521808,3.0174635585518390968519691247720067,543.14344053933103743335444245896121/pi,7.8102496759066543941297227357591014
m003(cusp),AABBab,6,-1,-1,,0.50000000000000000000000000000000000,6.0621778264910705273460621952705533,-36.500000000000000000000000000000000,6.0621778264910705273460621952705533,3.6622767501472215579603845219636849,2.9852130979188691212602018447620983,537.33835762539644182683633205717769/pi,6.0827625302982196889996842452020671
m003(cusp),AABaBB,6,-1,-3,,-0.50000000000000000000000000000000000,-7.7942286340599478208735085367764256,-60.500000000000000000000000000000000,7.7942286340599478208735085367764256,4.1426382673575660969443507318521808,3.0174635585518390968519691247720067,543.14344053933103743335444245896121/pi,7.8102496759066543941297227357591014
m003(cusp),AABaaB,6,0,-2,,-4.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,13.500000000000000000000000000000000,23.382685902179843462620525610329277,3.2612104349872172993558184037154023,1.1148799575693155022128596531692149,200.67839236247679039831473757045868/pi,5.1961524227066318805823390245176171
m003(cusp),AABaab,6,0,0,,6.0000000000000000000000000000000000,3.9272747722381812424766175639890205e-90,36.000000000000000000000000000000000,4.7127297266858174909719410767868246e-89,3.5254943480781721009304372999191692,1.3885013115162359450325720566879373e-90,(2.4993023607292247010586297020382871e-88)/pi,6.0000000000000000000000000000000000
m003(cusp),AABabb,6,-1,1,,-2.0000000000000000000000000000000000,6.9282032302755091741097853660234895,-44.000000000000000000000000000000000,-27.712812921102036696439141464093958,3.9833047820988736481379933505718539,-2.5990651461377516416067954700730032,-467.83172630479529548922318461314058/pi,7.2111025509279785862384425349409919
m003(cusp),AAbABB,6,-3,-1,,1.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,-16.500000000000000000000000000000000,-12.990381056766579701455847561294043,3.1175247937010961275322942381240860,-2.5275589002146271993025924245497472,-454.96060203863289587446663641895449/pi,4.5825756949558400065880471937280085
m003(cusp),AAbAbb,6,-3,3,,-6.0000000000000000000000000000000000,-6.9282032302755091741097853660234895,-12.000000000000000000000000000000000,83.138438763306110089317424392281874,4.4346209991317557957688956103269312,1.7375789572844228220753567418014388,312.76421231119610797356421352425898/pi,9.1651513899116800131760943874560170
